,uid,info,stars,categ,bt_coin,bt_days,bt_l_adg,bt_s_adg,long,l_AU,l_gspan,l_TP,short,s_AU,s_gspan,s_TP
247,f9307,/flyingtoaster/1m/test_phase/0.1.1_auenabled_short/SANDUSDT_20220803020858_d35d9,6.0,flyingtoaster,SANDUSDT,552,0.385,0.171,True,False,29.0,0.2% /0.25%/,True,True,40.0,0.2% /0.0%/
406,963b9,/flyingtoaster/1s/0.1.2_1sdata_auenabled_longshort/GMTUSDT_20220822051814_f74f5,5.0,flyingtoaster,GMTUSDT,149,0.384,0.145,True,True,36.0,0.2% /0.29%/,True,True,38.0,0.2% /0.29%/
6,75844,/dotcom87/v0.1/HBARUSDT_20220730064655_4661b,5.0,dotcom87,HBARUSDT,498,0.382,0.534,True,True,15.0,0.2% /0.23%/,True,True,25.0,0.2% /0.3%/
0,9b0b2,/dotcom87/v0.1/RSRUSDT_20220730064655_4661b,5.0,dotcom87,RSRUSDT,647,0.38,0.207,True,True,16.0,0.2% /0.3%/,True,True,20.0,0.2% /0.3%/
104,cc37e,/flyingtoaster/1m/5.7.0/MANAUSDT_20220716051312_e271d,4.0,flyingtoaster,MANAUSDT,482,0.379,0.471,True,False,13.0,0.3% /0.1%/,True,False,10.0,0.3% /0.19%/
223,bf48a,/flyingtoaster/1m/test_phase/1.9test_phase/SOLUSDT_20220729213838_f8f2b,6.0,flyingtoaster,SOLUSDT,678,0.379,0.159,True,False,16.0,0.29% /0.12%/,True,False,58.0,0.3% /0.0%/
187,963d8,/flyingtoaster/1m/audisabled/1.5/MATICUSDT_20220723093109_e541e,6.0,flyingtoaster,MATICUSDT,638,0.376,0.212,True,False,29.0,0.2% /2.97%/,True,False,46.0,0.74% /2.66%/
307,165f1,/flyingtoaster/1m/hardcore_scalp/HNTUSDT_20220811210818_adb85,5.0,flyingtoaster,HNTUSDT,673,0.375,0.295,True,True,15.0,0.3% /0.12%/,True,True,15.0,0.3% /0.2%/
21,c2c2c,/MDCL/Default_TP_0.2%_17k_balance_testing/SOLUSDT_20220817045953_116a8,6.0,MDCL,SOLUSDT,687,0.375,0.174,True,True,30.0,0.2% /0.3%/,True,True,27.0,0.2% /0.3%/
330,af86d,/flyingtoaster/1m/0.1_auenabled_short/MATICUSDT_20220731004348_49308,6.0,flyingtoaster,MATICUSDT,640,0.373,0.131,True,False,31.0,0.2% /0.26%/,True,True,35.0,0.2% /0.0%/
